timestamp,consumption_kwh,voltage_v,current_a,frequency_hz,meter,year,month
2020-01-01,271.169,250.2209744623656,1.5714186827956989,48.63587298387097,BR49,2020,1
2020-02-01,185.054,253.81976364942528,1.2272363505747128,48.95451149425288,BR49,2020,2
2020-03-01,153.778,251.92630510752687,0.9996243279569892,48.432030913978494,BR49,2020,3
2020-04-01,190.335,247.11495069444445,1.2026291666666666,48.28995625,BR49,2020,4
2020-05-01,397.446,237.77712787356322,2.499188936781609,47.63013649425287,BR49,2020,5
2020-06-01,807.073,231.57689444444443,4.887252777777778,47.749300000000005,BR49,2020,6
2020-07-01,699.323,231.0912197580645,4.137053763440861,47.52691532258064,BR49,2020,7
2020-08-01,606.208,237.16993413978494,3.595877688172043,48.662083333333335,BR49,2020,8
2020-09-01,623.573,234.0372483974359,4.436254807692308,48.65902403846154,BR49,2020,9
2020-10-01,297.72,246.3221297043011,1.8184045698924731,49.114413978494625,BR49,2020,10
2020-11-01,176.638,252.9560129310345,1.1325423850574712,49.08199784482759,BR49,2020,11
2020-12-01,234.128,253.00795295698924,1.4259408602150538,49.25345833333333,BR49,2020,12
