timestamp,consumption_kwh,voltage_v,current_a,frequency_hz,meter,day_of_week,is_weekend
2020-01-01,7.859,247.21393750000001,1.4357708333333332,48.235083333333336,BR49,2,0
2020-01-02,6.723,219.1898958333333,1.2717708333333335,43.129020833333335,BR49,3,0
2020-01-03,5.799,253.17235416666665,1.0787708333333332,49.9876875,BR49,4,0
2020-01-04,4.56,251.50435416666667,0.8962916666666667,49.15895833333333,BR49,5,1
2020-01-05,7.542,257.63754166666666,1.3750416666666667,49.99045833333333,BR49,6,1
2020-01-06,5.674,255.59279166666664,1.0524583333333333,49.977979166666664,BR49,0,0
2020-01-07,6.388,250.62904166666667,1.1969583333333333,48.83891666666667,BR49,1,0
2020-01-08,5.647,249.46460416666665,1.0617291666666666,49.588541666666664,BR49,2,0
2020-01-09,6.978,254.82760416666667,1.3099375,49.49229166666667,BR49,3,0
2020-01-10,13.54,252.67727083333332,2.3316041666666667,49.488416666666666,BR49,4,0
2020-01-11,12.013,254.95645833333336,2.0963125000000002,50.010041666666666,BR49,5,1
2020-01-12,12.05,255.22320833333333,2.10575,49.89683333333333,BR49,6,1
2020-01-13,7.936,249.25466666666668,1.4447708333333333,48.856312499999994,BR49,0,0
2020-01-14,8.574,252.82383333333334,1.5240208333333334,49.168104166666666,BR49,1,0
2020-01-15,9.399,256.4540416666667,1.6512083333333334,49.9119375,BR49,2,0
2020-01-16,7.401,255.96491666666668,1.3214374999999998,49.68295833333333,BR49,3,0
2020-01-17,10.228,245.4490625,1.8590833333333334,47.69329166666667,BR49,4,0
2020-01-18,9.41,240.6616666666667,1.7248541666666666,46.775687500000004,BR49,5,1
2020-01-19,9.838,253.1738125,1.7348958333333333,48.86264583333333,BR49,6,1
2020-01-20,10.155,258.7513125,1.7508333333333332,50.0015,BR49,0,0
2020-01-21,10.821,258.90958333333333,1.8757916666666667,50.0126875,BR49,1,0
2020-01-22,8.954,231.31627083333333,1.6201666666666665,44.606812500000004,BR49,2,0
2020-01-23,8.426,246.97833333333335,1.5379791666666667,47.60697916666666,BR49,3,0
2020-01-24,9.118,258.59925,1.6510624999999999,49.99277083333333,BR49,4,0
2020-01-25,8.599,253.8223125,1.5661875,49.05235416666667,BR49,5,1
2020-01-26,10.585,259.6284166666667,1.8532083333333333,49.99829166666667,BR49,6,1
2020-01-27,8.346,218.6350833333333,1.5842083333333332,42.293104166666666,BR49,0,0
2020-01-28,10.277,256.71081250000003,1.7912291666666667,49.47110416666667,BR49,1,0
2020-01-29,10.375,252.079,1.8359999999999999,48.43633333333333,BR49,2,0
2020-01-30,9.052,251.52025,1.5825625,48.42997916666666,BR49,3,0
2020-01-31,8.902,254.02852083333335,1.5920833333333335,49.06497916666667,BR49,4,0
2020-02-01,9.0,257.276,1.5983333333333334,49.591375,BR49,5,1
2020-02-02,10.842,231.45427083333334,1.9647291666666669,44.59708333333333,BR49,6,1
2020-02-03,11.462,254.87839583333334,2.080395833333333,49.13522916666667,BR49,0,0
2020-02-04,8.198,247.37445833333334,1.5227916666666668,47.78037500000001,BR49,1,0
2020-02-05,8.598,256.63279166666666,1.5271041666666667,49.582458333333335,BR49,2,0
2020-02-06,6.97,255.5486875,1.2766875,49.269125,BR49,3,0
2020-02-07,10.522,255.9270625,1.8701458333333332,49.58283333333333,BR49,4,0
2020-02-08,5.579,256.1293958333333,1.0654375,49.479187499999995,BR49,5,1
2020-02-09,5.751,240.00616666666667,1.1105625000000001,46.365874999999996,BR49,6,1
2020-02-10,8.339,257.16377083333333,1.5392291666666666,49.922875,BR49,0,0
2020-02-11,6.498,257.10893749999997,1.2051875,50.00697916666666,BR49,1,0
2020-02-12,6.277,257.87670833333334,1.1940625,49.78827083333333,BR49,2,0
2020-02-13,7.369,259.22183333333334,1.4411666666666667,49.983666666666664,BR49,3,0
2020-02-14,6.753,258.75110416666666,1.2637916666666666,49.99529166666667,BR49,4,0
2020-02-15,4.903,254.67168750000002,0.98375,49.16947916666666,BR49,5,1
2020-02-16,6.54,257.55802083333333,1.2638541666666667,49.800666666666665,BR49,6,1
2020-02-17,4.965,246.64385416666667,0.9931458333333333,47.7164375,BR49,0,0
2020-02-18,5.0120000000000005,255.968125,1.0053333333333334,49.67604166666667,BR49,1,0
2020-02-19,5.647,256.51708333333335,1.1021874999999999,49.586687500000004,BR49,2,0
2020-02-20,4.445,252.70414583333334,0.923875,48.77222916666666,BR49,3,0
2020-02-21,5.888,252.4719166666667,1.1663333333333334,48.016333333333336,BR49,4,0
2020-02-22,4.607,252.40475,1.003,48.43779166666666,BR49,5,1
2020-02-23,4.768,253.21185416666668,0.9975,48.543645833333336,BR49,6,1
2020-02-24,4.876,251.91654166666666,0.9948541666666666,48.53091666666667,BR49,0,0
2020-02-25,4.447,254.89335416666665,0.9206875,49.15566666666667,BR49,1,0
